"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2317";"http://almoune.fr/img/p/0.jpg";"Pignons longs 50gr.";"";"Accueil";"4.976303";"5.25";"1";"1";
"2835";"http://almoune.fr/img/p/0.jpg";"Graine de courge Beyrouti 250gr";"";"Accueil";"3.317536";"3.5";"1";"1";
"1357";"http://almoune.fr/img/p/0.jpg";"Semoule Moyen Tosca 1kg";"";"Ingrédients de pâtisserie";"1.412322";"1.49";"-1";"1";
"2206";"http://almoune.fr/img/p/0.jpg";"Mamoul Noix 500gr Alsultan";"";"Accueil";"17.535545";"18.5";"11";"1";
"2665";"http://almoune.fr/img/p/0.jpg";"Graibeh Hallab 200g";"";"Accueil";"5.213270";"5.5";"-6";"1";
"2438";"http://almoune.fr/img/p/0.jpg";"Cricri au kg";"";"Accueil";"8.056872";"8.5";"0";"1";
"2260";"http://almoune.fr/img/p/0.jpg";"Dattes Sukkari";"";"Accueil";"3.781991";"3.99";"-16";"1";
"2779";"http://almoune.fr/img/p/0.jpg";"Cannelle 500gr moulu";"";"Accueil";"4.379147";"4.62";"-1";"1";
"2608";"http://almoune.fr/img/p/0.jpg";"Olive 2kg Ahlam";"";"Accueil";"13.744076";"14.5";"-3";"1";
"2554";"http://almoune.fr/img/p/0.jpg";"chou fleur";"";"Produits";"2.606635";"2.75";"-32";"1";
"2951";"http://almoune.fr/img/p/0.jpg";"Gombo zero ";"";"Accueil";"1.895735";"2";"-12";"1";
"3007";"http://almoune.fr/img/p/0.jpg";"Vermicelle 400gr baharoglu";"";"Accueil";"0.947867";"1";"19";"1";
"2098";"http://almoune.fr/img/p/0.jpg";"Sucette Pierrot Gourmand 1 unité";"";"Friandises";"0.473934";"0.5";"10";"1";
"792";"http://almoune.fr/img/p/0.jpg";"Aubergine 1kg";"";"Accueil";"1.895735";"2";"-50";"1";
"2498";"http://almoune.fr/img/p/0.jpg";"Huile d'olive Boulos 50cl long";"";"Accueil";"7.819905";"8.25";"2";"1";
"2893";"http://almoune.fr/img/p/0.jpg";"Vermicelle 400 gr Habo";"";"Accueil";"1.184834";"1.25";"21";"1";
"1249";"http://almoune.fr/img/p/0.jpg";"Poudre de Falafel Durra 8kg";"";"Produits";"27.497630";"29.01";"0";"1";
"996";"http://almoune.fr/img/p/0.jpg";"Twist untié";"";"Friandises";"0.236967";"0.25";"8";"1";
"2326";"http://almoune.fr/img/p/0.jpg";"Fruits à Coque Acidulés Al Fakhr 500gr";"";"Accueil";"8.521327";"8.99";"1";"1";
"2214";"http://almoune.fr/img/p/0.jpg";"Jus orange 400gr Ice";"";"Accueil";"2.606635";"2.75";"20";"1";
"2673";"http://almoune.fr/img/p/0.jpg";"Labneh cri cri 5kg";"";"Accueil";"17.061611";"18";"0";"1";
"680";"http://almoune.fr/img/p/0.jpg";"charbon";"";"Accueil";"0.947867";"1";"-12";"1";
"1590";"http://almoune.fr/img/p/0.jpg";"Arack Ajawari 1.5L";"";"Accueil";"36.250000";"43.5";"1";"1";
"1127";"http://almoune.fr/img/p/0.jpg";"Hommus kash 1kg";"";"Accueil";"5.251185";"5.54";"0";"0";
"933";"http://almoune.fr/img/p/0.jpg";"Cave Kouroum Rosé 37cl";"";"Accueil";"2.800000";"3.36";"0";"1";
"1538";"http://almoune.fr/img/p/0.jpg";"Sukkari Wassim 500 gr";"";"Accueil";"2.606635";"2.75";"2";"1";
"1992";"http://almoune.fr/img/p/0.jpg";"Haricot rouge 3/1 Bonduelle 2.5kg";"";"Accueil";"7.497630";"7.91";"-1";"1";
"2269";"http://almoune.fr/img/p/0.jpg";"Crunch aux Noisettes Sabrina 30gr";"";"Accueil";"1.421801";"1.5";"12";"1";
"2787";"http://almoune.fr/img/p/0.jpg";"Falafel boustani 400gr";"";"Accueil";"2.834123";"2.99";"3";"1";
"1770";"http://almoune.fr/img/p/0.jpg";"Pistache caramelisé Ghrawi 70gr";"";"Accueil";"0.947867";"1";"0";"1";
"2385";"http://almoune.fr/img/p/0.jpg";"Pepite pastèques jaunes 250gr Al fakhr ";"";"Accueil";"2.132701";"2.25";"1";"1";
"2562";"http://almoune.fr/img/p/0.jpg";"Galanga seché 100gr ";"";"Accueil";"3.317536";"3.5";"26";"1";
"1061";"http://almoune.fr/img/p/0.jpg";"Thina Mira";"";"Tahini";"81.516588";"86";"-27";"1";
"1315";"http://almoune.fr/img/p/0.jpg";"Kashkaval Brebris 350 gr.";"";"Accueil";"4.265403";"4.5";"0";"1";
"1882";"http://almoune.fr/img/p/0.jpg";"persil 20 bottes ";"";"Accueil";"16.426540";"17.33";"-479";"1";
"1481";"http://almoune.fr/img/p/0.jpg";"Huile de tournesol Maurel 1L";"";"Huiles et vinaigres";"3.317536";"3.5";"-12";"1";
"1934";"http://almoune.fr/img/p/0.jpg";"Cardamone en grain 500 gr";"";"Accueil";"18.492891";"19.51";"1";"0";
"2506";"http://almoune.fr/img/p/0.jpg";"Tomate pate 800gr Shahia ";"";"Accueil";"2.834123";"2.99";"2";"1";
"2901";"http://almoune.fr/img/p/0.jpg";"Chips Master Salé Grand";"";"Accueil";"1.421801";"1.5";"-9";"1";
"1258";"http://almoune.fr/img/p/0.jpg";"Chwing gum";"";"Accueil";"1.421801";"1.5";"0";"1";
"403";"http://almoune.fr/img/p/0.jpg";"Frais de livraison inf à 49 euros";"";"Accueil";"5.830000";"5.83";"1";"1";
"1373";"http://almoune.fr/img/p/0.jpg";"Sirop de fraise Anjar 600mL";"";"Accueil";"3.781991";"3.99";"0";"1";
"2222";"http://almoune.fr/img/p/0.jpg";"Fève Verte congelé 400gr Nesmah";"";"Accueil";"1.895735";"2";"-69";"1";
"2681";"http://almoune.fr/img/p/0.jpg";"Noix pecan 150gr";"";"Accueil";"2.606635";"2.75";"1";"1";
"688";"http://almoune.fr/img/p/0.jpg";"Tasse Mate";"";"Yerba Maté";"3.791469";"4";"4";"1";
"741";"http://almoune.fr/img/p/0.jpg";"Riz long il rosotino";"";"Accueil";"1.184834";"1.25";"-2";"1";
"1599";"http://almoune.fr/img/p/0.jpg";"Ail pelé frais 100 gr";"";"Épices";"0.938389";"0.99";"2";"1";
"2844";"http://almoune.fr/img/p/0.jpg";"Riz Rounde kg";"";"Accueil";"1.895735";"2";"-1";"1";
